"Visitor arrivals by country of residence and travel mode (Monthly)","","","","","","","","",""
"","Australia","China, People's Republic of","Japan","Korea, Republic of","Germany","United Kingdom","Canada","United States of America","TOTAL ALL COUNTRIES OF RESIDENCE"
" ","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES"
"1978M04",15980,16,648,64,248,1324,528,3640,28524
"1978M05",13524,24,652,56,124,964,472,2676,23060
"1978M06",8452,8,376,32,132,924,228,2180,15760
"1978M07",10388,12,540,28,136,1176,500,3232,20892
"1978M08",17736,28,988,56,308,1096,548,3008,28992
"1978M09",13064,20,724,40,272,1096,364,3184,23048
"1978M10",16296,64,1576,48,716,1892,1092,6836,35052
"1978M11",15844,28,2024,64,664,4552,1248,8140,40564
"1978M12",40508,32,1532,68,640,4908,2460,5964,69304
"1979M01",26760,8,1168,32,576,4372,2356,5684,49968
"1979M02",17148,12,1852,56,616,3840,2064,8496,42068
"1979M03",22076,36,1488,84,592,2520,1664,5868,41512
"1979M04",16384,28,1188,60,608,1452,580,3304,29272
"1979M05",15416,56,992,64,236,1092,484,2704,25868
"1979M06",10016,28,376,28,184,964,288,2184,18216
"1979M07",11610,20,1236,28,196,1340,556,2780,23166
"1979M08",17944,16,1140,56,412,1340,480,3060,29808
"1979M09",14068,24,768,36,340,1380,512,3200,25232
"1979M10",15240,36,1572,16,432,1872,936,7544,33780
"1979M11",14856,40,2332,36,932,5956,1848,9488,43916
"1979M12",38180,44,1612,72,796,6236,2528,5904,69576
"1980M01",21832,20,1820,28,876,4964,2436,7424,48224
"1980M02",19464,44,2400,56,948,4972,3728,10992,51353
"1980M03",19468,72,2044,32,820,3104,2612,11584,46784
"1980M04",15971,24,1000,28,524,1560,892,5340,31284
"1980M05",15592,84,808,40,240,1236,620,2748,26681
"1980M06",12436,40,628,36,208,932,468,3237,22817
"1980M07",13436,40,968,28,404,1440,752,3796,26944
"1980M08",18590,44,1372,68,544,1520,604,3808,32902
"1980M09",13111,40,1512,32,340,1605,584,3652,25567
"1980M10",15816,140,1916,32,680,2524,1048,8289,37113
"1980M11",15284,60,2656,28,1008,3664,2144,10600,44788
"1980M12",36749,40,2072,92,1212,6580,2668,6330,70706
"1981M01",21402,124,2732,48,1124,3640,2640,8345,49699
"1981M02",16085,60,2480,84,1172,6961,2908,10933,48783
"1981M03",21044,116,2388,24,764,3644,2452,8180,46172
"1981M04",16766,100,2096,52,568,1885,1024,5268,33932
"1981M05",15389,36,1552,28,340,1420,904,3770,29105
"1981M06",13115,36,928,28,200,1096,564,3528,24159
"1981M07",13287,68,1328,60,437,1708,852,4747,29089
"1981M08",16714,32,1296,76,544,1637,952,4885,33134
"1981M09",15040,60,1468,28,352,1549,780,4262,29011
"1981M10",15202,56,2500,84,980,2709,1532,8720,39303
