"CAT_TRAVELLER","Category of traveller","COUNTRY","Country of stay/residence","TSEST","Adjustment type","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2013-01","Jan-2013",156100,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2013-02","Feb-2013",87500,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2013-03","Mar-2013",104600,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2013-04","Apr-2013",109700,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2013-05","May-2013",74900,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2013-06","Jun-2013",62700,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2013-07","Jul-2013",102500,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2013-08","Aug-2013",91600,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2013-09","Sep-2013",85700,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2013-10","Oct-2013",96100,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2013-11","Nov-2013",92700,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2013-12","Dec-2013",97500,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2014-01","Jan-2014",162800,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2014-02","Feb-2014",99100,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2014-03","Mar-2014",108200,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2014-04","Apr-2014",109000,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2014-05","May-2014",72500,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2014-06","Jun-2014",67800,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2014-07","Jul-2014",102700,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2014-08","Aug-2014",95800,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2014-09","Sep-2014",84700,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2014-10","Oct-2014",94100,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2014-11","Nov-2014",99600,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2014-12","Dec-2014",95600,,
"05","Short-term (less than one year) Residents returning","1201","New Zealand","10","Original","M","Monthly","2015-01","Jan-2015",173000,,
